pt_id,fire_name,base_ndvi,peak_ndvi,amp_ndvi,peak_doy,year,fire_phase,yrs_postfire,interval,regrowth,lat,lon
pt01,blackhawk,0.656216562,0.732934952,0.076718427,307,1985,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.578987718,0.723856688,0.14486894,258,1986,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.521552145,0.725037336,0.203485206,229,1987,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.559514523,0.694349527,0.134834975,276,1988,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,NA,NA,NA,NA,1989,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.577128589,0.647869706,0.070741095,265,1990,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.595381498,0.656385303,0.061003771,246,1991,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.380319983,0.637347519,0.257027566,356,1992,pre,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,NA,NA,NA,NA,1993,fire,0,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.166206598,0.261540443,0.095333837,290,1994,post,1,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.17112565,0.375821471,0.204695821,254,1995,post,2,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.202326223,0.414143831,0.211817607,248,1996,post,3,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.206105843,0.413335919,0.207230076,208,1997,post,4,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.174149945,0.489352405,0.315202475,223,1998,post,5,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.159431085,0.522180617,0.362749517,217,1999,post,6,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.179118037,0.459072232,0.279954225,212,2000,post,7,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.190728769,0.497894496,0.307165742,216,2001,post,8,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.182704702,0.420140028,0.237435341,197,2002,post,9,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.176633045,0.406855404,0.230222344,201,2003,post,10,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.177448481,0.42195043,0.244501948,199,2004,post,11,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.176211953,0.381604046,0.205392092,192,2005,post,12,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.172544062,0.40964362,0.237099558,207,2006,post,13,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.193447813,0.443423688,0.249975875,232,2007,post,14,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.190683663,0.404140443,0.21345678,186,2008,post,15,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.196602508,0.47473985,0.278137356,196,2009,post,16,16,Deciduous,33.310705,-107.833033
pt01,blackhawk,0.223305181,0.500999212,0.277694017,214,2010,post,17,16,Deciduous,33.310705,-107.833033
